Номер;Дата;t6;T7;t8;t9
94;20.04.17 1:52:11;12,7;15,6;16,8;21,6
95;20.04.17 1:52:12;12,7;15,6;16,8;21,6
96;20.04.17 1:52:13;12,7;15,6;16,9;21,6
97;20.04.17 1:52:14;12,7;15,6;16,9;21,6
98;20.04.17 1:52:15;12,7;15,7;16,9;21,6
99;20.04.17 1:52:16;12,7;15,7;16,9;21,5
100;20.04.17 1:52:17;12,7;15,7;16,9;21,5
101;20.04.17 1:52:17;12,7;15,7;16,9;21,5
102;20.04.17 1:52:18;12,7;15,7;16,9;21,5
103;20.04.17 1:52:19;12,7;15,7;16,9;21,5
104;20.04.17 1:52:20;12,7;15,7;16,9;21,6
105;20.04.17 1:52:21;12,7;15,7;16,9;21,6
106;20.04.17 1:52:22;12,7;15,7;16,9;21,6
107;20.04.17 1:52:23;12,7;15,7;16,9;21,6
108;20.04.17 1:52:24;12,7;15,8;17;21,6
109;20.04.17 1:52:25;12,7;15,8;17;21,6
110;20.04.17 1:52:26;12,7;15,8;17;21,6
111;20.04.17 1:52:27;12,7;15,8;17;21,5
112;20.04.17 1:52:28;12,7;15,8;17;21,5
113;20.04.17 1:52:29;12,7;15,8;17;21,6
114;20.04.17 1:52:30;12,7;16;17;21,6
115;20.04.17 1:52:31;12,7;16;17;21,6
116;20.04.17 1:52:32;12,7;16;17;21,6
117;20.04.17 1:52:33;12,7;16;17;21,6
118;20.04.17 1:52:34;12,7;16;17;21,6
119;20.04.17 1:52:35;12,7;16,1;17,1;21,5
120;20.04.17 1:52:36;12,7;16,1;17,1;21,5
121;20.04.17 1:52:37;12,7;16,1;17,1;21,5
122;20.04.17 1:52:38;12,7;16,2;17,1;21,5
123;20.04.17 1:52:39;12,7;16,2;17,1;21,5
124;20.04.17 1:52:40;12,7;16,2;17,1;21,5
125;20.04.17 1:52:41;12,7;16,2;17,1;21,5
126;20.04.17 1:52:42;12,7;16,2;17,2;21,5
127;20.04.17 1:52:43;12,7;16,2;17,2;21,5
128;20.04.17 1:52:44;12,7;16,3;17,2;21,5
129;20.04.17 1:52:45;12,7;16,3;17,2;21,5
130;20.04.17 1:52:46;12,7;16,3;17,2;21,5
131;20.04.17 1:52:47;12,7;16,3;17,2;21,5
132;20.04.17 1:52:48;12,7;16,3;17,2;21,5
133;20.04.17 1:52:49;12,7;16,3;17,2;21,5
134;20.04.17 1:52:50;12,7;16,4;17,3;21,5
135;20.04.17 1:52:51;12,7;16,4;17,3;21,5
136;20.04.17 1:52:52;12,7;16,4;17,3;21,5
137;20.04.17 1:52:53;12,7;16,5;17,3;21,5
138;20.04.17 1:52:54;12,7;16,5;17,3;21,5
139;20.04.17 1:52:55;12,7;16,6;17,3;21,5
140;20.04.17 1:52:56;12,7;16,6;17,3;21,5
141;20.04.17 1:52:57;12,7;16,6;17,3;21,5
142;20.04.17 1:52:58;12,7;16,6;17,3;21,5
143;20.04.17 1:52:59;12,7;16,6;17,4;21,5
144;20.04.17 1:53:00;12,7;16,6;17,4;21,5
145;20.04.17 1:53:01;12,7;16,6;17,4;21,5
146;20.04.17 1:53:02;12,7;16,6;17,4;21,5
147;20.04.17 1:53:03;12,7;16,6;17,4;21,5
148;20.04.17 1:53:04;12,7;16,6;17,4;21,5
149;20.04.17 1:53:05;12,7;16,6;17,4;21,5
150;20.04.17 1:53:06;12,7;16,6;17,4;21,5
151;20.04.17 1:53:07;12,7;16,7;17,4;21,5
152;20.04.17 1:53:08;12,7;16,7;17,5;21,5
153;20.04.17 1:53:09;12,7;16,7;17,5;21,5
154;20.04.17 1:53:10;12,7;16,7;17,5;21,5
155;20.04.17 1:53:11;12,7;16,7;17,5;21,5
156;20.04.17 1:53:12;12,7;16,7;17,5;21,5
157;20.04.17 1:53:13;12,7;16,7;17,5;21,5
158;20.04.17 1:53:14;12,7;16,7;17,5;21,5
159;20.04.17 1:53:15;12,7;16,7;17,5;21,5
160;20.04.17 1:53:16;12,7;16,7;17,5;21,5
161;20.04.17 1:53:17;12,7;16,7;17,5;21,5
162;20.04.17 1:53:18;12,7;16,8;17,5;21,5
163;20.04.17 1:53:19;12,7;16,8;17,5;21,5
164;20.04.17 1:53:20;12,7;16,8;17,6;21,5
165;20.04.17 1:53:21;12,7;16,8;17,6;21,5
166;20.04.17 1:53:22;12,7;16,8;17,6;21,5
167;20.04.17 1:53:23;12,7;16,8;17,6;21,5
168;20.04.17 1:53:24;12,7;16,8;17,6;21,5
169;20.04.17 1:53:25;12,7;16,9;17,6;21,5
170;20.04.17 1:53:26;12,7;16,9;17,6;21,5
171;20.04.17 1:53:27;12,7;17;17,6;21,5
172;20.04.17 1:53:28;12,7;17;17,7;21,5
173;20.04.17 1:53:29;12,7;17;17,7;21,5
174;20.04.17 1:53:30;12,7;17;17,7;21,5
175;20.04.17 1:53:31;12,7;17;17,7;21,5
176;20.04.17 1:53:32;12,7;17;17,7;21,5
177;20.04.17 1:53:33;12,7;17,1;17,7;21,5
178;20.04.17 1:53:34;12,7;17,1;17,7;21,5
179;20.04.17 1:53:35;12,7;17,2;17,7;21,5
180;20.04.17 1:53:36;12,7;17,2;17,7;21,5
181;20.04.17 1:53:37;12,7;17,2;17,8;21,5
182;20.04.17 1:53:38;12,7;17,2;17,8;21,5
183;20.04.17 1:53:39;12,7;17,2;17,8;21,5
184;20.04.17 1:53:40;12,7;17,2;17,8;21,5
185;20.04.17 1:53:41;12,7;17,2;17,8;21,5
186;20.04.17 1:53:42;12,7;17,2;17,9;21,5
187;20.04.17 1:53:43;12,7;17,2;17,9;21,5
188;20.04.17 1:53:44;12,7;17,2;17,9;21,5
189;20.04.17 1:53:45;12,7;17,3;17,9;21,5
190;20.04.17 1:53:46;12,7;17,3;17,9;21,5
191;20.04.17 1:53:47;12,7;17,3;17,9;21,5
192;20.04.17 1:53:48;12,7;17,3;17,9;21,5
193;20.04.17 1:53:49;12,7;17,3;17,9;21,5
194;20.04.17 1:53:50;12,7;17,3;17,9;21,5
195;20.04.17 1:53:51;12,7;17,4;18;21,5
196;20.04.17 1:53:52;12,7;17,4;18;21,5
197;20.04.17 1:53:53;12,7;17,4;18;21,5
198;20.04.17 1:53:54;12,7;17,5;18;21,5
199;20.04.17 1:53:55;12,7;17,5;18;21,5
200;20.04.17 1:53:56;12,7;17,5;18;21,5
201;20.04.17 1:53:57;12,7;17,5;18;21,5
202;20.04.17 1:53:58;12,7;17,5;18;21,5
203;20.04.17 1:53:59;12,7;17,5;18;21,5
204;20.04.17 1:54:00;12,7;17,5;18,1;21,5
205;20.04.17 1:54:01;12,7;17,5;18,1;21,5
206;20.04.17 1:54:02;12,7;17,5;18,1;21,5
207;20.04.17 1:54:03;12,7;17,5;18,1;21,5
208;20.04.17 1:54:04;12,7;17,5;18,1;21,5
209;20.04.17 1:54:05;12,7;17,5;18,1;21,5
210;20.04.17 1:54:06;12,7;17,5;18,1;21,5
211;20.04.17 1:54:07;12,6;17,5;18,1;21,5
212;20.04.17 1:54:08;12,6;17,5;18,1;21,5
213;20.04.17 1:54:09;12,6;17,5;18,1;21,5
214;20.04.17 1:54:10;12,6;17,5;18,1;21,5
215;20.04.17 1:54:11;12,6;17,5;18,1;21,5
216;20.04.17 1:54:12;12,7;17,5;18,1;21,5
217;20.04.17 1:54:13;12,7;17,6;18,1;21,5
218;20.04.17 1:54:14;12,7;17,6;18,1;21,5
219;20.04.17 1:54:15;12,7;17,6;18,1;21,5
220;20.04.17 1:54:16;12,7;17,6;18,1;21,5
221;20.04.17 1:54:17;12,7;17,5;18,2;21,5
222;20.04.17 1:54:18;12,7;17,5;18,2;21,5
223;20.04.17 1:54:19;12,6;17,6;18,2;21,5
224;20.04.17 1:54:20;12,6;17,6;18,2;21,5
225;20.04.17 1:54:21;12,6;17,6;18,2;21,5
226;20.04.17 1:54:22;12,6;17,6;18,2;21,5
227;20.04.17 1:54:23;12,6;17,6;18,2;21,5
228;20.04.17 1:54:24;12,6;17,6;18,2;21,5
229;20.04.17 1:54:25;12,6;17,7;18,2;21,5
230;20.04.17 1:54:26;12,6;17,7;18,2;21,5
231;20.04.17 1:54:27;12,6;17,7;18,2;21,5
232;20.04.17 1:54:28;12,6;17,8;18,2;21,5
233;20.04.17 1:54:29;12,6;17,8;18,3;21,5
234;20.04.17 1:54:30;12,6;17,8;18,3;21,5
235;20.04.17 1:54:31;12,6;17,8;18,3;21,5
236;20.04.17 1:54:32;12,6;17,8;18,3;21,5
237;20.04.17 1:54:33;12,6;17,8;18,3;21,5
238;20.04.17 1:54:34;12,6;17,8;18,3;21,5
239;20.04.17 1:54:35;12,6;17,8;18,4;21,5
240;20.04.17 1:54:36;12,6;17,9;18,4;21,5
241;20.04.17 1:54:37;12,6;17,9;18,4;21,5
242;20.04.17 1:54:38;12,6;17,9;18,4;21,5
243;20.04.17 1:54:39;12,6;17,9;18,4;21,5
244;20.04.17 1:54:40;12,6;17,9;18,4;21,5
245;20.04.17 1:54:41;12,6;17,9;18,4;21,5
246;20.04.17 1:54:42;12,6;17,9;18,4;21,5
247;20.04.17 1:54:43;12,6;18;18,5;21,5
248;20.04.17 1:54:44;12,6;18;18,5;21,5
249;20.04.17 1:54:45;12,6;18;18,5;21,5
250;20.04.17 1:54:46;12,6;18;18,5;21,5
251;20.04.17 1:54:47;12,6;18;18,5;21,5
252;20.04.17 1:54:48;12,6;18;18,5;21,5
253;20.04.17 1:54:49;12,6;18;18,5;21,5
254;20.04.17 1:54:50;12,6;18;18,5;21,5
255;20.04.17 1:54:51;12,6;18,1;18,6;21,5
256;20.04.17 1:54:52;12,6;18,1;18,6;21,5
257;20.04.17 1:54:53;12,6;18,1;18,6;21,5
258;20.04.17 1:54:54;12,6;18,1;18,6;21,5
259;20.04.17 1:54:55;12,6;18,1;18,6;21,5
260;20.04.17 1:54:56;12,6;18,1;18,6;21,5
261;20.04.17 1:54:57;12,6;18,1;18,6;21,5
262;20.04.17 1:54:58;12,6;18,1;18,6;21,5
263;20.04.17 1:54:59;12,6;18,1;18,6;21,5
264;20.04.17 1:55:00;12,6;18,1;18,6;21,5
265;20.04.17 1:55:01;12,6;18,1;18,6;21,5
266;20.04.17 1:55:02;12,6;18,1;18,6;21,5
267;20.04.17 1:55:03;12,6;18,1;18,6;21,5
268;20.04.17 1:55:04;12,6;18,1;18,6;21,5
269;20.04.17 1:55:05;12,6;18,1;18,6;21,5
270;20.04.17 1:55:06;12,6;18,1;18,6;21,5
271;20.04.17 1:55:07;12,6;18,1;18,6;21,5
272;20.04.17 1:55:08;12,6;18,1;18,6;21,5
273;20.04.17 1:55:09;12,6;18,1;18,7;21,5
274;20.04.17 1:55:10;12,6;18,1;18,7;21,5
275;20.04.17 1:55:11;12,6;18,1;18,7;21,5
276;20.04.17 1:55:12;12,6;18,1;18,7;21,5
277;20.04.17 1:55:13;12,6;18,1;18,7;21,5
278;20.04.17 1:55:14;12,6;18,1;18,7;21,5
279;20.04.17 1:55:15;12,6;18,2;18,7;21,5
280;20.04.17 1:55:16;12,6;18,2;18,7;21,5
281;20.04.17 1:55:17;12,6;18,2;18,7;21,5
282;20.04.17 1:55:18;12,6;18,2;18,7;21,5
283;20.04.17 1:55:19;12,6;18,2;18,7;21,5
284;20.04.17 1:55:20;12,6;18,2;18,7;21,5
285;20.04.17 1:55:21;12,6;18,2;18,7;21,5
286;20.04.17 1:55:22;12,6;18,2;18,7;21,5
287;20.04.17 1:55:23;12,6;18,3;18,8;21,5
288;20.04.17 1:55:24;12,6;18,3;18,8;21,5
289;20.04.17 1:55:25;12,6;18,3;18,8;21,5
290;20.04.17 1:55:26;12,6;18,3;18,8;21,5
291;20.04.17 1:55:27;12,6;18,3;18,8;21,5
292;20.04.17 1:55:28;12,6;18,3;18,8;21,5
293;20.04.17 1:55:29;12,6;18,4;18,8;21,5
294;20.04.17 1:55:30;12,6;18,4;18,8;21,5
295;20.04.17 1:55:31;12,6;18,4;18,8;21,5
296;20.04.17 1:55:32;12,6;18,4;18,8;21,5
297;20.04.17 1:55:33;12,6;18,4;18,8;21,5
298;20.04.17 1:55:34;12,6;18,4;18,8;21,5
299;20.04.17 1:55:35;12,6;18,4;18,8;21,5
300;20.04.17 1:55:36;12,6;18,4;18,9;21,5
301;20.04.17 1:55:36;12,6;18,4;18,9;21,5
302;20.04.17 1:55:37;12,6;18,5;18,9;21,5
303;20.04.17 1:55:38;12,6;18,5;18,9;21,5
304;20.04.17 1:55:39;12,6;18,5;18,9;21,5
305;20.04.17 1:55:40;12,6;18,5;19;21,5
306;20.04.17 1:55:41;12,6;18,5;19;21,5
307;20.04.17 1:55:42;12,6;18,5;19;21,5
308;20.04.17 1:55:43;12,6;18,5;19;21,5
309;20.04.17 1:55:44;12,6;18,5;19;21,5
310;20.04.17 1:55:45;12,6;18,5;19;21,5
311;20.04.17 1:55:46;12,6;18,5;19;21,5
312;20.04.17 1:55:47;12,6;18,5;19;21,5
313;20.04.17 1:55:48;12,6;18,5;19;21,5
314;20.04.17 1:55:49;12,6;18,5;19;21,5
315;20.04.17 1:55:50;12,6;18,5;19;21,5
316;20.04.17 1:55:51;12,6;18,6;19;21,5
317;20.04.17 1:55:52;12,6;18,6;19;21,5
318;20.04.17 1:55:53;12,6;18,6;19;21,5
319;20.04.17 1:55:54;12,6;18,5;19;21,5
320;20.04.17 1:55:55;12,6;18,5;19;21,5
321;20.04.17 1:55:56;12,6;18,5;19;21,5
322;20.04.17 1:55:57;12,6;18,6;19,1;21,5
323;20.04.17 1:55:58;12,6;18,6;19,1;21,5
324;20.04.17 1:55:59;12,6;18,6;19,1;21,5
325;20.04.17 1:56:00;12,6;18,5;19,1;21,5
326;20.04.17 1:56:01;12,6;18,5;19,1;21,5
327;20.04.17 1:56:02;12,6;18,5;19,1;21,5
328;20.04.17 1:56:03;12,6;18,6;19,1;21,5
329;20.04.17 1:56:04;12,6;18,6;19,1;21,5
330;20.04.17 1:56:05;12,6;18,6;19,1;21,5
331;20.04.17 1:56:06;12,6;18,5;19,1;21,5
332;20.04.17 1:56:07;12,6;18,5;19,1;21,5
333;20.04.17 1:56:08;12,6;18,5;19,1;21,5
334;20.04.17 1:56:09;12,6;18,6;19,1;21,5
335;20.04.17 1:56:10;12,6;18,6;19,1;21,5
336;20.04.17 1:56:11;12,6;18,6;19,1;21,5
337;20.04.17 1:56:12;12,6;18,6;19,1;21,5
338;20.04.17 1:56:13;12,6;18,6;19,1;21,5
339;20.04.17 1:56:14;12,6;18,7;19,1;21,5
340;20.04.17 1:56:15;12,6;18,7;19,1;21,5
341;20.04.17 1:56:16;12,6;18,7;19,1;21,5
342;20.04.17 1:56:17;12,6;18,7;19,1;21,5
343;20.04.17 1:56:18;12,6;18,7;19,2;21,5
344;20.04.17 1:56:19;12,6;18,7;19,2;21,5
345;20.04.17 1:56:20;12,6;18,7;19,2;21,5
346;20.04.17 1:56:21;12,6;18,7;19,2;21,5
347;20.04.17 1:56:22;12,6;18,7;19,2;21,5
348;20.04.17 1:56:23;12,6;18,7;19,2;21,5
349;20.04.17 1:56:24;12,6;18,7;19,2;21,5
350;20.04.17 1:56:25;12,6;18,7;19,2;21,5
351;20.04.17 1:56:26;12,6;18,8;19,2;21,5
352;20.04.17 1:56:27;12,6;18,8;19,2;21,5
353;20.04.17 1:56:28;12,6;18,8;19,2;21,5
354;20.04.17 1:56:29;12,6;18,8;19,2;21,5
355;20.04.17 1:56:30;12,6;18,8;19,2;21,5
356;20.04.17 1:56:31;12,6;18,8;19,2;21,5
357;20.04.17 1:56:32;12,6;18,8;19,3;21,5
358;20.04.17 1:56:33;12,6;18,8;19,3;21,5
359;20.04.17 1:56:34;12,6;18,8;19,3;21,5
360;20.04.17 1:56:35;12,6;18,9;19,3;21,5
361;20.04.17 1:56:36;12,6;18,9;19,3;21,5
362;20.04.17 1:56:37;12,6;18,9;19,3;21,5
363;20.04.17 1:56:38;12,6;18,9;19,3;21,5
364;20.04.17 1:56:39;12,6;18,9;19,3;21,5
365;20.04.17 1:56:40;12,6;18,9;19,3;21,5
366;20.04.17 1:56:41;12,6;18,8;19,3;21,5
367;20.04.17 1:56:42;12,6;18,8;19,3;21,5
368;20.04.17 1:56:43;12,5;18,8;19,4;21,5
369;20.04.17 1:56:44;12,5;18,8;19,4;21,5
370;20.04.17 1:56:45;12,5;18,8;19,4;21,5
371;20.04.17 1:56:46;12,5;18,9;19,3;21,5
372;20.04.17 1:56:47;12,5;18,9;19,3;21,5
373;20.04.17 1:56:48;12,5;18,9;19,3;21,5
374;20.04.17 1:56:49;12,5;18,8;19,3;21,5
375;20.04.17 1:56:50;12,5;18,8;19,4;21,5
376;20.04.17 1:56:51;12,5;18,8;19,4;21,5
377;20.04.17 1:56:52;12,5;18,8;19,4;21,5
378;20.04.17 1:56:53;12,5;18,8;19,4;21,6
379;20.04.17 1:56:54;12,5;18,8;19,4;21,6
380;20.04.17 1:56:55;12,5;18,8;19,4;21,5
381;20.04.17 1:56:56;12,5;18,8;19,4;21,5
382;20.04.17 1:56:57;12,5;18,8;19,4;21,5
383;20.04.17 1:56:58;12,6;18,8;19,4;21,5
384;20.04.17 1:56:59;12,6;18,8;19,4;21,5
385;20.04.17 1:57:00;12,6;18,8;19,4;21,5
386;20.04.17 1:57:01;12,6;18,8;19,4;21,5
387;20.04.17 1:57:02;12,5;18,8;19,4;21,5
388;20.04.17 1:57:03;12,5;18,8;19,4;21,5
389;20.04.17 1:57:04;12,5;18,8;19,4;21,5
390;20.04.17 1:57:05;12,5;18,8;19,4;21,5
391;20.04.17 1:57:06;12,6;18,8;19,4;21,5
392;20.04.17 1:57:07;12,6;18,8;19,4;21,5
393;20.04.17 1:57:08;12,6;18,8;19,4;21,5
394;20.04.17 1:57:09;12,5;18,9;19,4;21,5
395;20.04.17 1:57:10;12,5;18,9;19,4;21,5
396;20.04.17 1:57:11;12,5;18,9;19,4;21,5
397;20.04.17 1:57:12;12,5;18,9;19,4;21,5
398;20.04.17 1:57:13;12,5;18,9;19,5;21,5
399;20.04.17 1:57:14;12,5;18,9;19,5;21,5
400;20.04.17 1:57:15;12,5;19;19,5;21,5
401;20.04.17 1:57:16;12,5;19;19,5;21,5
402;20.04.17 1:57:17;12,5;19;19,5;21,5
403;20.04.17 1:57:18;12,5;19;19,5;21,5
404;20.04.17 1:57:19;12,5;19;19,5;21,5
405;20.04.17 1:57:20;12,6;19;19,5;21,5
406;20.04.17 1:57:21;12,6;19;19,5;21,5
407;20.04.17 1:57:22;12,6;19;19,5;21,5
408;20.04.17 1:57:23;12,6;19;19,5;21,5
409;20.04.17 1:57:24;12,6;19,1;19,5;21,5
410;20.04.17 1:57:25;12,6;19,1;19,5;21,5
411;20.04.17 1:57:26;12,6;19,1;19,5;21,5
412;20.04.17 1:57:27;12,6;19,1;19,6;21,5
413;20.04.17 1:57:28;12,6;19,1;19,6;21,5
414;20.04.17 1:57:29;12,6;19,1;19,6;21,5
415;20.04.17 1:57:30;12,6;19,1;19,6;21,5
416;20.04.17 1:57:31;12,6;19,1;19,6;21,5
417;20.04.17 1:57:32;12,5;19,1;19,6;21,5
418;20.04.17 1:57:33;12,5;19,1;19,6;21,5
419;20.04.17 1:57:34;12,5;19,1;19,6;21,5
420;20.04.17 1:57:35;12,5;19,1;19,6;21,5
421;20.04.17 1:57:36;12,5;19,1;19,6;21,5
422;20.04.17 1:57:37;12,5;19,1;19,6;21,5
423;20.04.17 1:57:38;12,5;19,1;19,6;21,5
424;20.04.17 1:57:39;12,5;19,1;19,6;21,5
425;20.04.17 1:57:40;12,5;19,1;19,6;21,5
426;20.04.17 1:57:41;12,5;19,1;19,6;21,5
427;20.04.17 1:57:42;12,5;19,1;19,6;21,5
428;20.04.17 1:57:43;12,5;19,1;19,6;21,5
429;20.04.17 1:57:44;12,5;19,1;19,6;21,5
430;20.04.17 1:57:45;12,5;19,1;19,6;21,5
431;20.04.17 1:57:46;12,5;19,1;19,6;21,5
432;20.04.17 1:57:47;12,5;19,1;19,7;21,5
433;20.04.17 1:57:48;12,5;19,1;19,7;21,5
434;20.04.17 1:57:49;12,5;19,1;19,7;21,5
435;20.04.17 1:57:50;12,5;19;19,6;21,5
436;20.04.17 1:57:51;12,5;19;19,6;21,5
437;20.04.17 1:57:52;12,5;19;19,6;21,5
438;20.04.17 1:57:53;12,5;19;19,7;21,5
439;20.04.17 1:57:54;12,5;19;19,7;21,5
440;20.04.17 1:57:55;12,5;19;19,7;21,5
441;20.04.17 1:57:56;12,5;19;19,7;21,6
442;20.04.17 1:57:57;12,5;19;19,7;21,6
443;20.04.17 1:57:58;12,5;19;19,7;21,6
444;20.04.17 1:57:59;12,5;19;19,7;21,5
445;20.04.17 1:58:00;12,5;19;19,6;21,5
446;20.04.17 1:58:01;12,5;19;19,6;21,5
447;20.04.17 1:58:02;12,5;19,1;19,7;21,6
448;20.04.17 1:58:03;12,5;19,1;19,7;21,6
449;20.04.17 1:58:04;12,5;19,1;19,7;21,6
450;20.04.17 1:58:05;12,5;19,1;19,7;21,6
451;20.04.17 1:58:06;12,5;19,1;19,7;21,6
452;20.04.17 1:58:07;12,5;19,1;19,7;21,6
453;20.04.17 1:58:08;12,5;19,1;19,7;21,6
454;20.04.17 1:58:09;12,5;19,1;19,7;21,6
455;20.04.17 1:58:10;12,5;19,2;19,7;21,6
456;20.04.17 1:58:11;12,5;19,2;19,7;21,6
457;20.04.17 1:58:12;12,5;19,2;19,7;21,6
458;20.04.17 1:58:13;12,4;19,2;19,7;21,6
459;20.04.17 1:58:14;12,4;19,2;19,7;21,6
460;20.04.17 1:58:15;12,4;19,2;19,7;21,6
461;20.04.17 1:58:16;12,4;19,2;19,7;21,6
462;20.04.17 1:58:17;12,4;19,2;19,7;21,5
463;20.04.17 1:58:18;12,4;19,2;19,7;21,5
464;20.04.17 1:58:19;12,5;19,3;19,7;21,5
465;20.04.17 1:58:20;12,5;19,3;19,7;21,5
466;20.04.17 1:58:21;12,5;19,3;19,7;21,5
467;20.04.17 1:58:22;12,5;19,3;19,7;21,5
468;20.04.17 1:58:23;12,5;19,2;19,8;21,5
469;20.04.17 1:58:24;12,5;19,2;19,8;21,5
470;20.04.17 1:58:25;12,4;19,2;19,8;21,5
